No,論文名稱: Thesis Title (Chinese),論文英文: Thesis Title (English),研究生: Graduate Student,指導教授: Advisor / Thesis Supervisor,校院名稱: University / College Name,系所名稱: Department Name,學位類別: Degree Type,畢業學年度: Graduation Academic Year,論文出版年: Thesis Publication Year,被引用: Citations,點閱: Views,下載: Downloads,書目收藏: Bibliography Collection,URI
88,註釋、對話代理和協作概念圖支持大學生議論文寫作和後設認知的培養,"Fostering Argumentative Writing and Metacognition Awareness of Undergraduate Students with Support of Annotation, Conversational Agents and Collaborative Concept Map",武朗狄,黃武元,國立中央大學,網路學習科技研究所,碩士,109,2021,0,106,0,0,https://hdl.handle.net/11296/d27e67
89,個案研究：利用認知學徒制幫助台灣製藥培訓電腦化系統確效,Case study: an investigation of utilizing cognitive apprenticeship to help computerized system validation of pharmaceutical manufacturing training in Taiwan,苗舜菖,黃武元,國立中央大學,網路學習科技研究所,碩士,109,2021,0,214,2,0,https://hdl.handle.net/11296/922j52
90,導入發音輔具英語自由閱讀活動對於學生閱讀興趣及投入之影響,The Impact of Free English Reading with Digital Pen Support and Guided Reading Video Activity on Students’ Situational Interest (SI) and Engagement,翊翎‧撒利尤,劉晨鐘,國立中央大學,網路學習科技研究所,碩士,109,2021,0,120,5,0,https://hdl.handle.net/11296/8vkkfu
91,結合卡牌桌遊於國際音標課程之學習動機分析-對數位語言學習建議,The analysis of the motivation of board games to the International Phonetic Alphabet in Digital language learning suggestion,莊家冀,劉晨鐘,國立中央大學,網路學習科技研究所,碩士,109,2021,1,232,0,0,https://hdl.handle.net/11296/rze4j2
92,聊天機器人使用故事接龍及故事引導對話策略對學生英語閱讀經驗的影響,The Influence of Chatbots Using Story Relay and Story Guidance Strategies on Students’ English Reading Experience,馮永婷,劉晨鐘,國立中央大學,網路學習科技研究所,碩士,109,2021,2,211,14,2,https://hdl.handle.net/11296/6g55gb
93,聊天機器人對國小學生英語閱讀興趣的影響,The Impact of Chatbot on Elementary School Students' Interest in English Reading,廖墨剛,劉晨鐘,國立中央大學,網路學習科技研究所,碩士,109,2021,5,229,6,1,https://hdl.handle.net/11296/6ttmn7
94,從先備知識的角度探討將遊戲式學習和個人化 整合至英語三層式測驗的影響,An Investigation of Incorporating Game-based Learning and Personalization into English ThreeTier Tests: A Prior Knowledge Aspect,曾家儀,陳攸華,國立中央大學,網路學習科技研究所,碩士,109,2021,0,138,0,0,https://hdl.handle.net/11296/366z6e
95,探討在真實情境下教師回饋對學習認知與學習持續性之影響,Investigation the Influence of Learning Cognition and Sustainability with teacher feedback in Cross Contexts,湯詠琦,黃武元,國立中央大學,網路學習科技研究所,碩士,109,2021,0,88,0,0,https://hdl.handle.net/11296/5nt39e
96,透過創作影片進行教中學,Learning-by-teaching through video creation,陳冠廷,陳德懷,國立中央大學,網路學習科技研究所,碩士,109,2021,2,111,0,0,https://hdl.handle.net/11296/wrhy45
97,設計與實踐「提升式寫作」活動以提升國小學生寫作品質與寫作興趣,Design and Practice of Betterment-Driven Writing Activity to Enhance Elementary School Students' Writing Quality and Writing Interest,劉宸穎,陳德懷,國立中央大學,網路學習科技研究所,碩士,109,2021,1,165,0,0,https://hdl.handle.net/11296/7g5t9q
98,閱讀島：應用數位閱讀歷程擴大學生閱讀舒適圈及提升閱讀動機之系統設計,Reading Island: Reading-Portfolio System Design for Expanding Students’ Reading Comfort Zone and Promoting Reading Motivation,賴瑞霖,陳德懷,國立中央大學,網路學習科技研究所,碩士,109,2021,4,168,0,0,https://hdl.handle.net/11296/267bhr
99,結合自然語言技術的線上合作論證系統之開發與初步評估,Development and Preliminary Evaluation of Natural Language Processing Theory-based Online Collaborative Argumentation Platform,楊加豪,吳穎沺,國立中央大學,網路學習科技研究所,碩士,109,2021,1,157,0,0,https://hdl.handle.net/11296/ta46h5
100,基於「知識翻新理論」與「設計思考」的跨領域專題學習平台之開發與初步評估,Development and Preliminary Evaluation of an Online Platform based on Knowledge Building Theory and Design Thinking for Interdisciplinary Learning,郭富銘,吳穎沺,國立中央大學,網路學習科技研究所,碩士,109,2021,1,212,3,0,https://hdl.handle.net/11296/z5k65f
101,國小高年級學生對於社會性科學議題之非形式推理思考表現及其線上合作論證之研究：以人工智慧相關議題為例,none,吳喬恩,吳穎沺,國立中央大學,網路學習科技研究所,碩士,109,2021,1,133,0,1,https://hdl.handle.net/11296/xftu64
102,結合框架理論與拼圖法之人工智慧相關社會性科學議題教學對國小高年級學生非形式推理能力與對人工智慧態度的影響,The influence of the teaching of artificial intelligence-related Socio-scientific Issues combining Framing Theory and Jigsaw on the informal reasoning ability and attitudes to the artificial intelligence of senior students in elementary school,賴佑庭,吳穎沺,國立中央大學,網路學習科技研究所,碩士,109,2021,0,420,12,4,https://hdl.handle.net/11296/345h45
103,基於工程設計流程的生活科技課程對國中生在 工程態度、生活科技學習興趣、科技及工程認 知與實作表現的影響,"The impact of technology courses based on engineering design process on junior high school students’ attitudes to engineering, interest in technology learning, technology and engineering cognition and practical performance",朱偉均,吳穎沺,國立中央大學,網路學習科技研究所,碩士,109,2021,0,162,0,0,https://hdl.handle.net/11296/843efy
104,強調後設認知之科技輔助數學建模教學對國中生後設認知能力與數學解題歷程表現之影響：以「數列與級數」單元為例,"Emphasizing the influence of metacognitive Technology-assisted modeling-based math instruction teaching on the metacognitive ability and mathematical problem solving process performance of junior high school students: Take ""Sequence and Series Unit"" as an example",蘇育賢,吳穎沺,國立中央大學,網路學習科技研究所,碩士,109,2021,3,167,5,1,https://hdl.handle.net/11296/u2rb44
105,基於工程設計流程的STEM專題本位課程對國小高年級生學習成效之影響,The Effects of Implementing the STEM Project-Based  Learning Curriculum Based on Engineering Design  Process on Upper Grade Students of Elementary School,王嘉賢,吳穎沺,國立中央大學,網路學習科技研究所,碩士,109,2021,2,195,2,0,https://hdl.handle.net/11296/5g343x
106,科技輔助生活科技課程對國中生「對工程設計流程認知」與「對工程的態度」之影響：以投石車製作課程為例,The Influence of Technology-supported Technology Course on Junior High School Students’ Understanding of Engineering Design Process and Attitudes Towards Engineering,盧楷文,吳穎沺,國立中央大學,網路學習科技研究所,碩士,109,2021,1,124,2,0,https://hdl.handle.net/11296/nz79fk
107,整合認知師徒制與共同規律學習的混成學習對大學生電腦相關問題解決能力、學習動機及網路學習經驗之影響：以「辦公室應用」課程為例,"The effects of cognitive apprenticeship and co-regulated learning on improving students’ computer problem-solving skills, learning motivation, and experience of online learning: A quasi experiment in ‘Applied Information Technology: Office Software’ course",林芷嫺,吳穎沺,國立中央大學,網路學習科技研究所,碩士,109,2021,1,175,0,1,https://hdl.handle.net/11296/67a573
108,在真實情境中利用智慧機制提升國小學生之外語口說及對話能力之評估,Evaluation of using smart mechanisms to improve the EFL speaking and conversation of elementary school students in authentic contexts,李佩蓁,黃武元,國立中央大學,網路學習科技研究所,碩士,109,2021,0,119,0,0,https://hdl.handle.net/11296/58pb93
109,探討擴展合作式多媒體認知理論和其對EFL聽力與口語能力之影響 - 結合動覺辨識和學習者設計內容之猜謎遊戲,Investigating Extended Collaborative Cognitive Theory of Multimedia Learning and its effect on EFL Listening and Speaking - Guessing Game with Kinesthetic Recognition and Learner-Designed Contents,黃子馨,黃武元,國立中央大學,網路學習科技研究所,碩士,109,2021,0,139,0,0,https://hdl.handle.net/11296/ku3c39
110,探討主題式演講搭配個人回饋機制促進英文口說學習-以軍職人員培訓為例,Investigation of Theme-based Speech to improve EFL Learning with Individual Feedback- Case Study of Training Military Personnels,陳立穎,黃武元,國立中央大學,網路學習科技研究所,碩士,109,2021,0,157,0,0,https://hdl.handle.net/11296/jbc76m
111,Development of a mobile web library application for Institutional repository with evaluation of learners’ performing tasks and behaviors and their influences on learning achievements,Development of a mobile web library application for Institutional repository with evaluation of learners’ performing tasks and behaviors and their influences on learning achievements,阮氏清賢,黃武元,國立中央大學,網路學習科技研究所,碩士,109,2021,0,98,0,0,https://hdl.handle.net/11296/bz24hp
112,在數位遊戲式學習環境中先備能力對兩種學習內容整合方式之影響：緊密結合 vs. 鬆散結合,The Influences of Prior Ability on Two Approaches for Game-based Learning Content Integration: Tightly-coupling vs. Loosely-coupling,黃本杲,"楊接期
陳攸華",國立中央大學,網路學習科技研究所,博士,109,2021,0,271,0,0,https://hdl.handle.net/11296/x8kh6p
113,Using Image-To-Text Recognition to Improve EFL Writing of Elementary School Students with Scaffolding Support in Authentic Contexts,Using Image-To-Text Recognition to Improve EFL Writing of Elementary School Students with Scaffolding Support in Authentic Contexts,蔡嘉明,黃武元,國立中央大學,網路學習科技研究所,碩士,109,2021,0,109,0,0,https://hdl.handle.net/11296/6jy9xs
114,透過積木程式的計算機模擬進行科學學習,Science Learning Through Computer Simulations With Blockly Codes,男蘇亞,劉晨鐘,國立中央大學,網路學習科技研究所,碩士,109,2021,0,135,10,0,https://hdl.handle.net/11296/2xng3z
115,學生應用視覺化建模與程式工具進行計算建模之分析,An Analysis of Computational Modeling in Science with Visual Modeling and Programming Tool,賴柏翰,劉晨鐘,國立中央大學,網路學習科技研究所,碩士,109,2021,2,308,5,0,https://hdl.handle.net/11296/8eybxg
116,"	
Authentic Contexts Supported Physics Learning with Ubiquitous-Physics App in Creativity, Scalability, and Sustainability","Authentic Contexts Supported Physics Learning with Ubiquitous-Physics App in Creativity, Scalability, and Sustainability",戴思萍,黃武元,國立中央大學,網路學習科技研究所,博士,109,2020,0,96,0,0,https://hdl.handle.net/11296/w7j77v
